rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.965,Главные вклады: достижим от 9 seed (+0.315); поток 8.59 млн KZT (+0.250).
2,100000000331309100,distributor,0.895,Главные вклады: поток 23.00 млн KZT (+0.250); посредничество 0.00373 (+0.250).
3,100000000437046100,distributor,0.895,Главные вклады: поток 7.61 млн KZT (+0.250); посредничество 0.00195 (+0.250).
4,100000001857829100,coordinator,0.895,Главные вклады: поток 2.39 млн KZT (+0.250); посредничество 0.00192 (+0.250).
5,100000002957787100,distributor,0.895,Главные вклады: поток 1.28 млн KZT (+0.250); посредничество 0.00357 (+0.250).
6,100000004351795100,coordinator,0.895,Главные вклады: поток 1.72 млн KZT (+0.250); посредничество 0.00229 (+0.250).
7,100000004400305100,distributor,0.895,Главные вклады: поток 5.83 млн KZT (+0.250); посредничество 0.00322 (+0.250).
8,100000005704413100,distributor,0.895,Главные вклады: поток 1.36 млн KZT (+0.250); посредничество 0.00595 (+0.250).
9,100000005910114100,distributor,0.895,Главные вклады: поток 1.47 млн KZT (+0.250); посредничество 0.00507 (+0.250).
10,100000005933757100,distributor,0.895,Главные вклады: поток 3.00 млн KZT (+0.250); посредничество 0.00253 (+0.250).
11,100000008477350100,distributor,0.895,Главные вклады: поток 3.37 млн KZT (+0.250); посредничество 0.00234 (+0.250).
12,100000008603629100,coordinator,0.895,Главные вклады: поток 4.99 млн KZT (+0.250); посредничество 0.00700 (+0.250).
13,100000008346837100,coordinator,0.89385407660695,Главные вклады: посредничество 0.00847 (+0.250); поток 1.26 млн KZT (+0.249).
14,100000008547844100,distributor,0.8819924181435436,Главные вклады: достижим от 8 seed (+0.280); поток 2.04 млн KZT (+0.250).
15,100000008304139100,distributor,0.8752401407371333,Главные вклады: поток 1.69 млн KZT (+0.250); достижим от 7 seed (+0.245).
16,100000003016635100,distributor,0.86,Главные вклады: поток 9.41 млн KZT (+0.250); посредничество 0.00632 (+0.250).
17,100000006866783100,distributor,0.86,Главные вклады: поток 3.95 млн KZT (+0.250); посредничество 0.00609 (+0.250).
18,100000007639767100,coordinator,0.807570936608399,Главные вклады: посредничество 0.00242 (+0.250); достижим от 7 seed (+0.245).
19,100000008547948100,distributor,0.8055590005105324,Главные вклады: достижим от 8 seed (+0.280); поток 5.19 млн KZT (+0.250).
20,100000008710843100,distributor,0.8006030997362253,Главные вклады: достижим от 8 seed (+0.280); поток 1.99 млн KZT (+0.250).
